Accuracy for epoch 0 is 0.5950413346290588, precision is 0.5480769276618958
Accuracy for epoch 1 is 0.6528925895690918, precision is 0.5894736647605896
Accuracy for epoch 2 is 0.6280992031097412, precision is 0.5699999928474426
Accuracy for epoch 3 is 0.5619834661483765, precision is 0.5299999713897705
Accuracy for epoch 4 is 0.6363636255264282, precision is 0.5773195624351501
Accuracy for epoch 5 is 0.6115702390670776, precision is 0.5600000023841858
Accuracy for epoch 6 is 0.6033057570457458, precision is 0.5591397881507874
Accuracy for epoch 7 is 0.6528925895690918, precision is 0.5913978219032288
Accuracy for epoch 8 is 0.6694214940071106, precision is 0.6172839403152466
Accuracy for epoch 9 is 0.6859503984451294, precision is 0.6296296119689941
Accuracy for epoch 10 is 0.7438016533851624, precision is 0.7333333492279053
Accuracy for epoch 11 is 0.7272727489471436, precision is 0.75
Accuracy for epoch 12 is 0.7685950398445129, precision is 0.7924528121948242
Accuracy for epoch 13 is 0.7272727489471436, precision is 0.6805555820465088
Accuracy for epoch 14 is 0.7685950398445129, precision is 0.8039215803146362
Accuracy for epoch 15 is 0.7685950398445129, precision is 0.8297872543334961
Accuracy for epoch 16 is 0.7438016533851624, precision is 0.75
Accuracy for epoch 17 is 0.7603305578231812, precision is 0.7419354915618896
Accuracy for epoch 18 is 0.7355371713638306, precision is 0.7288135886192322
Accuracy for epoch 19 is 0.7190082669258118, precision is 0.7358490824699402
Accuracy for epoch 20 is 0.7438016533851624, precision is 0.804347813129425
Accuracy for epoch 21 is 0.7438016533851624, precision is 0.7333333492279053
Accuracy for epoch 22 is 0.7190082669258118, precision is 0.7551020383834839
Accuracy for epoch 23 is 0.7355371713638306, precision is 0.7647058963775635
Accuracy for epoch 24 is 0.71074378490448, precision is 0.6935483813285828
Accuracy for epoch 25 is 0.7438016533851624, precision is 0.7121211886405945
Accuracy for epoch 26 is 0.7438016533851624, precision is 0.7592592835426331
Accuracy for epoch 27 is 0.7438016533851624, precision is 0.75
Accuracy for epoch 28 is 0.7272727489471436, precision is 0.6911764740943909
Accuracy for epoch 29 is 0.6611570119857788, precision is 0.6022727489471436
Accuracy for epoch 30 is 0.6859503984451294, precision is 0.6567164063453674
Accuracy for epoch 31 is 0.7190082669258118, precision is 0.6811594367027283
