Accuracy for epoch 89 is 0.7272727489471436, precision is 0.6585366129875183
Accuracy for epoch 90 is 0.7685950398445129, precision is 0.7066666483879089
Accuracy for epoch 91 is 0.7355371713638306, precision is 0.6753246784210205
Accuracy for epoch 92 is 0.7520661354064941, precision is 0.6933333277702332
Accuracy for epoch 93 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 94 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 95 is 0.7768595218658447, precision is 0.7162162065505981
Accuracy for epoch 96 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 97 is 0.7355371713638306, precision is 0.6849315166473389
Accuracy for epoch 98 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 99 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 100 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 101 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 102 is 0.7685950398445129, precision is 0.7123287916183472
Accuracy for epoch 103 is 0.7768595218658447, precision is 0.7285714149475098
Accuracy for epoch 104 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 105 is 0.7933884263038635, precision is 0.7297297120094299
Accuracy for epoch 106 is 0.7851239442825317, precision is 0.7323943376541138
Accuracy for epoch 107 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 108 is 0.7768595218658447, precision is 0.7222222089767456
Accuracy for epoch 109 is 0.7768595218658447, precision is 0.7105262875556946
Accuracy for epoch 110 is 0.7603305578231812, precision is 0.692307710647583
Accuracy for epoch 111 is 0.7685950398445129, precision is 0.7066666483879089
Accuracy for epoch 112 is 0.7768595218658447, precision is 0.7105262875556946
Accuracy for epoch 113 is 0.702479362487793, precision is 0.6352941393852234
Accuracy for epoch 114 is 0.7768595218658447, precision is 0.7222222089767456
Accuracy for epoch 115 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 116 is 0.7272727489471436, precision is 0.6710526347160339
Accuracy for epoch 117 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 118 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 119 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 120 is 0.7520661354064941, precision is 0.698630154132843
Accuracy for epoch 121 is 0.7603305578231812, precision is 0.7142857313156128
Accuracy for epoch 122 is 0.7768595218658447, precision is 0.7285714149475098
Accuracy for epoch 123 is 0.7190082669258118, precision is 0.6582278609275818
Accuracy for epoch 124 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 125 is 0.6859503984451294, precision is 0.6265060305595398
Accuracy for epoch 126 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 127 is 0.7768595218658447, precision is 0.7285714149475098
Accuracy for epoch 128 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 129 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 130 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 131 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 132 is 0.7438016533851624, precision is 0.699999988079071
Accuracy for epoch 133 is 0.7355371713638306, precision is 0.6753246784210205
Accuracy for epoch 134 is 0.7685950398445129, precision is 0.7123287916183472
Accuracy for epoch 135 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 136 is 0.7438016533851624, precision is 0.699999988079071
Accuracy for epoch 137 is 0.7438016533851624, precision is 0.699999988079071
Accuracy for epoch 138 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 139 is 0.7355371713638306, precision is 0.6901408433914185
Accuracy for epoch 140 is 0.7520661354064941, precision is 0.698630154132843
Accuracy for epoch 141 is 0.7851239442825317, precision is 0.7538461685180664
Accuracy for epoch 142 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 143 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 144 is 0.7603305578231812, precision is 0.7142857313156128
Accuracy for epoch 145 is 0.7438016533851624, precision is 0.699999988079071
Accuracy for epoch 146 is 0.7355371713638306, precision is 0.695652186870575
Accuracy for epoch 147 is 0.7520661354064941, precision is 0.7164179086685181
Accuracy for epoch 148 is 0.71074378490448, precision is 0.6578947305679321
Accuracy for epoch 149 is 0.7438016533851624, precision is 0.699999988079071
Accuracy for epoch 150 is 0.7272727489471436, precision is 0.6666666865348816
Accuracy for epoch 151 is 0.7685950398445129, precision is 0.7123287916183472
Accuracy for epoch 152 is 0.8016529083251953, precision is 0.7536231875419617
Accuracy for epoch 153 is 0.7685950398445129, precision is 0.7066666483879089
Accuracy for epoch 154 is 0.7520661354064941, precision is 0.7101449370384216
Accuracy for epoch 155 is 0.7851239442825317, precision is 0.7538461685180664
Accuracy for epoch 156 is 0.7851239442825317, precision is 0.7538461685180664
Accuracy for epoch 157 is 0.7685950398445129, precision is 0.7313432693481445
Accuracy for epoch 158 is 0.7851239442825317, precision is 0.7538461685180664
Accuracy for epoch 159 is 0.7603305578231812, precision is 0.7272727489471436
Accuracy for epoch 160 is 0.7603305578231812, precision is 0.7272727489471436
Accuracy for epoch 161 is 0.7933884263038635, precision is 0.7428571581840515
Accuracy for epoch 162 is 0.7272727489471436, precision is 0.6666666865348816
Accuracy for epoch 163 is 0.7520661354064941, precision is 0.7164179086685181
Accuracy for epoch 164 is 0.7438016533851624, precision is 0.7058823704719543
Accuracy for epoch 165 is 0.7520661354064941, precision is 0.7164179086685181
Accuracy for epoch 166 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 167 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 168 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 169 is 0.7355371713638306, precision is 0.6901408433914185
Accuracy for epoch 170 is 0.7933884263038635, precision is 0.7575757503509521
Accuracy for epoch 171 is 0.7355371713638306, precision is 0.695652186870575
Accuracy for epoch 172 is 0.7190082669258118, precision is 0.6666666865348816
Accuracy for epoch 173 is 0.7603305578231812, precision is 0.720588207244873
Accuracy for epoch 174 is 0.7520661354064941, precision is 0.698630154132843
Accuracy for epoch 175 is 0.7190082669258118, precision is 0.6623376607894897
Accuracy for epoch 176 is 0.8016529083251953, precision is 0.7536231875419617
Accuracy for epoch 177 is 0.71074378490448, precision is 0.662162184715271
Accuracy for epoch 178 is 0.71074378490448, precision is 0.6538461446762085
Accuracy for epoch 179 is 0.7685950398445129, precision is 0.7313432693481445
Accuracy for epoch 180 is 0.702479362487793, precision is 0.653333306312561
Accuracy for epoch 181 is 0.7685950398445129, precision is 0.7313432693481445
Accuracy for epoch 182 is 0.7768595218658447, precision is 0.7352941036224365
Accuracy for epoch 183 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 184 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 185 is 0.7355371713638306, precision is 0.6849315166473389
Accuracy for epoch 186 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 187 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 188 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 189 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 190 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 191 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 192 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 193 is 0.7355371713638306, precision is 0.6708860993385315
Accuracy for epoch 194 is 0.8016529083251953, precision is 0.7692307829856873
Accuracy for epoch 195 is 0.8099173307418823, precision is 0.7647058963775635
Accuracy for epoch 196 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 197 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 198 is 0.7603305578231812, precision is 0.7142857313156128
Accuracy for epoch 199 is 0.7768595218658447, precision is 0.7352941036224365
